,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL
69,Nadal,Refrescs,-,-,-,LIPTON Refresc de te verd amb gust de préssec,"1,00 €",1L,"(1,00 € per litre)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/57396/details
70,Nadal,Refrescs,-,-,-,LIPTON Refresc te menta/llima,"1,00 €",1L,"(1,00 € per litre)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/57448/details
71,Nadal,Refrescs,-,-,-,BONPREU Gasosa,"0,25 €",1.5L,"(0,17 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/01184/details
72,Nadal,Refrescs,-,-,-,SCHWEPPES Refresc tònica,"1,55 €",1L,"(1,55 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/83040/details
73,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola zero,"1,25 €",1.25L,"(1,00 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/26731/details
74,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"14,88 €",24 x 0.33L,"(1,88 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/81602/details
75,Nadal,Refrescs,-,-,-,TRINA Refresc de taronja Zero sucres,"1,39 €",1.5L,"(0,93 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/34784/details
76,Nadal,Refrescs,-,-,-,SCHWEPPES Refresc de llimona,"1,52 €",1L,"(1,52 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/27608/details
77,Nadal,Refrescs,-,-,-,PEPSI MAX Refresc de cola Max,"1,25 €",2L,"(0,63 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/02116/details
78,Nadal,Refrescs,-,-,-,NESTEA Refresc de te a la llimona sense sucre,"1,49 €",1.5L,"(0,99 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/26626/details
79,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"1,92 €",2L,"(0,96 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/07492/details
80,Nadal,Refrescs,-,-,-,LA CASERA Gasosa,"0,85 €",1.5L,"(0,57 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/23676/details
81,Nadal,Refrescs,-,-,-,COCA COLA Refresc de cola Zero sense cafeïna,"3,04 €",2 x 2L,"(0,76 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/02900/details
82,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"7,28 €",4 x 2L,"(0,91 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/24564/details
83,Nadal,Refrescs,-,-,-,KAS Refresc tònica,"3,99 €",6 x 0.2L,"(3,32 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/01453/details
84,Nadal,Refrescs,-,-,-,FANTA Refresc de llimona amb gas,"1,35 €",2L,"(0,68 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/01438/details
85,Nadal,Refrescs,-,-,-,FANTA Refresc de taronja zero,"1,32 €",2L,"(0,66 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/02948/details
86,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola sense cafeïna,"1,92 €",2L,"(0,96 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/09384/details
87,Nadal,Bombons,-,-,-,LINDT LINDOR Bombons de xocolata amb llet,"4,99 €",0.2kg,"(24,95 € per quilo)",Si,"Abans 5,49€",https://www.compraonline.bonpreuesclat.cat/products/80414/details
88,Nadal,Bombons,-,-,-,FERRERO Assortit de bombons Prestige,"8,99 €",0.246kg,"(36,54 € per quilo)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/69881/details
89,Nadal,Bombons,-,-,-,FERRERO Assortit de bombons Collection,"6,93 €",0.172kg,"(40,29 € per quilo)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/33021/details
90,Nadal,Bombons,-,-,-,NESTLÉ Bombons Caja-Roja Dark,"4,99 €",0.114kg,"(43,77 € per quilo)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/19828/details
