Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL,Date
Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"7,28 €",4 x 2L,"(0,91 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/24564/details,02/11/2020
Nadal,Refrescs,-,-,-,KAS Refresc tònica,"3,99 €",6 x 0.2L,"(3,32 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/01453/details,02/11/2020
Nadal,Refrescs,-,-,-,FANTA Refresc de llimona amb gas,"1,35 €",2L,"(0,68 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/01438/details,02/11/2020
Nadal,Refrescs,-,-,-,FANTA Refresc de taronja zero,"1,32 €",2L,"(0,66 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/02948/details,02/11/2020
Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola sense cafeïna,"1,92 €",2L,"(0,96 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/09384/details,02/11/2020
Nadal,Bombons,-,-,-,LINDT LINDOR Bombons de xocolata amb llet,"4,99 €",0.2kg,"(24,95 € per quilo)",SI,"Abans 5,49€",https://www.compraonline.bonpreuesclat.cat/products/80414/details,02/11/2020
Nadal,Bombons,-,-,-,FERRERO Assortit de bombons Prestige,"8,99 €",0.246kg,"(36,54 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/69881/details,02/11/2020
Nadal,Bombons,-,-,-,FERRERO Assortit de bombons Collection,"6,93 €",0.172kg,"(40,29 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/33021/details,02/11/2020
Nadal,Bombons,-,-,-,NESTLÉ Bombons Caja-Roja Dark,"4,99 €",0.114kg,"(43,77 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/19828/details,02/11/2020
Nadal,Bombons,-,-,-,FERRERO Assortit de bombons Golden Gallery,"7,99 €",0.216kg,"(36,99 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/34765/details,02/11/2020
Nadal,Bombons,-,-,-,FERRERO Bombons de xocolata i avellana,"4,99 €",0.2kg,"(24,95 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/27498/details,02/11/2020
Nadal,Bombons,-,-,-,FERRERO Bombons de xocolata i avellana,"8,69 €",0.375kg,"(23,17 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/27511/details,02/11/2020
Nadal,Bombons,-,-,-,CAJA ROJA Bombons,"4,95 €",0.2kg,"(24,75 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/03078/details,02/11/2020
Nadal,Bombons,-,-,-,LINDT Assortit de bombons,"5,49 €",0.2kg,"(27,45 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/02086/details,02/11/2020
Nadal,Bombons,-,-,-,MALTESERS Boles de xocolata,"2,75 €",0.175kg,"(15,71 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/23961/details,02/11/2020
Nadal,Bombons,-,-,-,LINDT SENSATION Bombons de xocolata negra amb gerds,"3,89 €",0.15kg,"(25,93 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/06402/details,02/11/2020
Nadal,Bombons,-,-,-,LINDT LINDOR Bombons de xocolata extra negra,"5,49 €",0.2kg,"(27,45 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/80415/details,02/11/2020
Nadal,Bombons,-,-,-,FERRERO Bombons de xocolata i avellana,"8,39 €",0.3kg,"(27,97 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/15976/details,02/11/2020
Nadal,Bombons,-,-,-,NESTLÉ Assortit bombons Caja Roja,"8,95 €",0.4kg,"(22,38 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/29547/details,02/11/2020
Nadal,Bombons,-,-,-,LINDT Assortit de bombons gran,"13,99 €",0.469kg,"(29,83 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/21735/details,02/11/2020
Nadal,Bombons,-,-,-,NESTLÉ AFTER EIGHT Làmines de xocolata amb menta,"4,30 €",0.3kg,"(14,33 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/32137/details,02/11/2020
