,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari
208,Castanyada,Ingredients per panellets,-,-,-,HELIOS Crema de codonyat,"1,10 €",0.17kg,"(6,47 € per quilo)"
209,Castanyada,Ingredients per panellets,-,-,-,IFA Codonyat,"0,99 €",0.33kg,"(3,00 € per quilo)"
210,Castanyada,Ingredients per panellets,-,-,-,HIDA Cabell d'Àngel,"1,69 €",0.52kg,"(3,25 € per quilo)"
211,Castanyada,Ingredients per panellets,-,-,-,DR. OETKER Ametlla en làmines,"3,45 €",0.125kg,"(27,60 € per quilo)"
212,Castanyada,Ingredients per panellets,-,-,-,DR. OETKER Ametlles crocanti,"3,45 €",0.125kg,"(27,60 € per quilo)"
213,Castanyada,Ingredients per panellets,-,-,-,SAN LORENZO Confitura codony,"0,99 €",0.4kg,"(2,48 € per quilo)"
214,Castanyada,Ingredients per panellets,-,-,-,SAN LORENZO Codonyat sense sucres afegits,"1,69 €",0.37kg,"(4,57 € per quilo)"
215,Castanyada,Ingredients per panellets,-,-,-,DR. OETKER Ametlles moltes,"3,45 €",0.125kg,"(27,60 € per quilo)"
216,Castanyada,Ingredients per panellets,-,-,-,DR. OETKER Coco ratllat,"1,99 €",0.125kg,"(15,92 € per quilo)"
217,Castanyada,Ingredients per panellets,-,-,-,BORGES Ametlla crua ecològica,"2,76 €",0.1kg,"(27,60 € per quilo)"
218,Castanyada,Ingredients per panellets,-,-,-,BONPREU Sucre de canya ecològic,"2,89 €",0.725kg,"(3,99 € per quilo)"
219,Castanyada,Ingredients per panellets,-,-,-,BONPREU Ous frescos ecològics mitjans i grossos,"3,95 €",10 per paquet,"(0,40 € per article)"
220,Castanyada,Especial Halloween,-,-,-,SIMON COLL Paraigües de xocolata amb llet,"1,00 €",4 x 0.01kg,"(25,00 € per quilo)"
221,Castanyada,Especial Halloween,-,-,-, Galeta rat-penat Musfi's,"2,99 €",0.2kg,"(14,95 € per quilo)"
222,Castanyada,Especial Halloween,-,-,-,MUSFI'S Galeta Carbassa farcida de xocolata,"2,99 €",2 x 0.1kg,"(14,95 € per quilo)"
223,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
224,Castanyada,Especial Halloween,-,-,-,MUSFI'S Galeta Fantasma farcida de xocolata,"2,99 €",0.2kg,"(14,95 € per quilo)"
225,Castanyada,Especial Halloween,-,-,-,MUSFI'S Galeta Calavera farcida de xocolata,"2,99 €",0.2kg,"(14,95 € per quilo)"
226,Castanyada,Espelmes ofrena,-,-,-,BONPREU Llànties blanques,"1,55 €",10 per paquet,"(0,16 € per article)"
227,Castanyada,Espelmes ofrena,-,-,-,BONPREU Espelmes blanques,"1,59 €",4 per paquet,"(0,40 € per article)"
228,Castanyada,Espelmes ofrena,-,-,-,BONPREU Espelma ofrena,"1,39 €",4 per paquet,"(0,35 € per article)"
229,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
230,Ofertes,2es unitats amb descompte,-,-,-,BUITONI Base pizza Finissima,"1,99 €",0.26kg,"(7,65 € per quilo)"
231,Ofertes,2es unitats amb descompte,-,-,-,LAY'S GOURMET Patates fregides Gourmet,"2,29 €",0.18kg,"(12,72 € per quilo)"
232,Ofertes,2es unitats amb descompte,-,-,-,DINOSAURUS Galetes de cereals,"2,13 €",0.411kg,"(5,18 € per quilo)"
233,Ofertes,2es unitats amb descompte,-,-,-,FONT VELLA Aigua mineral natural 6x33CL,"2,34 €",6 x 0.33L,"(1,18 € per litre)"
